avg_deg_setting	dist_name	r_concentration	n_seed	p0	p1	p2	p3	p4plus	active_r_ratio	mean_dk_active	max_dk	direct_K	tia_K	look1_K	look2_K	direct_T	tia_T	look1_T	look2_T
8	p0_50_p1_50	spread	3	0.50107	0.49893	0.00000	0.00000	0.00000	0.28883	1.00000	1.00000	353.3333	175.3333	175.3333	175.3333	0.02000	0.19900	0.19900	0.19900
8	p0_50_p1_50	random	3	0.50107	0.49893	0.00000	0.00000	0.00000	0.25084	1.14230	3.00000	353.3333	175.3333	175.3333	175.3333	0.02000	0.19900	0.19900	0.19900
8	p0_50_p1_50	low20	3	0.50107	0.49893	0.00000	0.00000	0.00000	0.19910	1.44764	1.66667	353.3333	175.3333	175.3333	175.3333	0.02000	0.19900	0.19900	0.19900
8	p0_50_p1_50	top20	3	0.50107	0.49893	0.00000	0.00000	0.00000	0.19910	1.44764	1.66667	353.3333	175.6667	175.6667	175.6667	0.02000	0.19833	0.19833	0.19833
8	p0_50_p1_50	randtop20	3	0.50107	0.49893	0.00000	0.00000	0.00000	0.19910	1.44764	1.66667	353.3333	175.3333	175.0000	175.0000	0.02000	0.19900	0.20000	0.20000
8	p0_50_p1_50	low05	3	0.50107	0.49893	0.00000	0.00000	0.00000	0.03398	63.18333	63.33333	353.3333	113.6667	113.6667	113.6667	0.02000	0.26067	0.26067	0.26067
8	p0_50_p1_50	top05	3	0.50107	0.49893	0.00000	0.00000	0.00000	0.03398	63.18333	63.33333	353.3333	114.0000	114.0000	114.0000	0.02000	0.26033	0.26033	0.26033
8	p0_50_p1_50	randtop05	3	0.50107	0.49893	0.00000	0.00000	0.00000	0.03398	63.18333	63.33333	353.3333	114.3333	114.3333	114.3333	0.02000	0.26000	0.26000	0.26000
8	p0_50_p1_50	low02	3	0.50107	0.49893	0.00000	0.00000	0.00000	0.01968	14.68470	15.00000	353.3333	162.3333	162.3333	162.3333	0.02000	0.21200	0.21200	0.21200
8	p0_50_p1_50	top02	3	0.50107	0.49893	0.00000	0.00000	0.00000	0.01968	14.68470	15.00000	353.3333	162.6667	162.6667	162.6667	0.02000	0.21167	0.21167	0.21167
