family	dist_name	r_concentration	n	direct_K	tia_K	look1_K	look2_K	tia_gain	look1_extra	look2_extra	mean_dk_active	max_dk	look2_T_ratio
ws	p0_20_p1_40_p2_40	spread	6	37.50	29.67	29.67	29.67	7.83	0.00	0.00	1.00	1.00	0.03
ws	p0_20_p1_40_p2_40	random	6	37.50	29.67	29.67	29.67	7.83	0.00	0.00	1.02	1.67	0.03
ws	p0_20_p1_40_p2_40	top20	6	37.50	29.67	29.67	29.67	7.83	0.00	0.00	1.00	1.00	0.03
ws	p0_20_p1_40_p2_40	top05	6	37.50	29.67	29.17	29.17	7.83	0.50	0.00	1.29	2.00	0.03
ws	p0_20_p1_40_p2_40	low20	6	37.50	29.67	29.67	29.67	7.83	0.00	0.00	1.00	1.00	0.03
ws	p0_20_p1_40_p2_40	low05	6	37.50	29.67	29.17	29.17	7.83	0.50	0.00	1.29	2.00	0.03
ws	p0_20_p1_40_p2_40	randtop20	6	37.50	29.67	29.67	29.67	7.83	0.00	0.00	1.00	1.00	0.03
ws	p0_20_p1_40_p2_40	randtop05	6	37.50	29.67	29.17	29.17	7.83	0.50	0.00	1.29	2.00	0.03
ws	p1_33_p2_34_p3_33	spread	6	37.50	37.17	37.17	37.17	0.33	0.00	0.00	1.00	1.00	0.02
sbm_strong	p0_20_p1_40_p2_40	low20	6	122.67	98.17	98.00	98.00	24.50	0.17	0.00	1.26	2.00	0.05
sbm_strong	p0_20_p1_40_p2_40	low05	6	122.67	48.83	47.50	47.50	73.83	1.33	0.00	3.43	4.00	0.13
sbm_strong	p0_20_p1_40_p2_40	randtop20	6	122.67	98.33	98.33	98.33	24.33	0.00	0.00	1.26	2.00	0.04
sbm_strong	p0_20_p1_40_p2_40	randtop05	6	122.67	49.67	49.00	49.00	73.00	0.67	0.00	3.43	4.00	0.13
sbm_strong	p1_33_p2_34_p3_33	spread	6	122.67	122.00	122.00	122.00	0.67	0.00	0.00	1.00	1.00	0.02
sbm_strong	p1_33_p2_34_p3_33	random	6	122.67	121.33	121.33	121.33	1.33	0.00	0.00	1.14	2.83	0.02
sbm_strong	p1_33_p2_34_p3_33	top20	6	122.67	122.17	122.17	122.17	0.50	0.00	0.00	1.59	2.33	0.02
sbm_strong	p1_33_p2_34_p3_33	top05	6	122.67	106.33	43.00	43.00	16.33	63.33	0.00	5.69	6.17	0.14
sbm_strong	p1_33_p2_34_p3_33	low20	6	122.67	122.00	122.00	122.00	0.67	0.00	0.00	1.59	2.33	0.02
sbm_strong	p1_33_p2_34_p3_33	low05	6	122.67	86.50	46.17	46.17	36.17	40.33	0.00	5.69	6.17	0.14
sbm_strong	p1_33_p2_34_p3_33	randtop20	6	122.67	122.17	122.17	122.17	0.50	0.00	0.00	1.59	2.33	0.02
sbm_strong	p1_33_p2_34_p3_33	randtop05	6	122.67	106.33	44.00	44.00	16.33	62.33	0.00	5.69	6.17	0.14
sbm_strong	p2_50_p3_50	spread	6	122.67	122.17	122.17	122.17	0.50	0.00	0.00	1.00	1.00	0.02
sbm_strong	p2_50_p3_50	random	6	122.67	122.17	122.17	122.17	0.50	0.00	0.00	1.19	3.17	0.02
sbm_strong	p2_50_p3_50	top20	6	122.67	122.17	122.17	122.17	0.50	0.00	0.00	1.90	3.00	0.02
sbm_strong	p2_50_p3_50	top05	6	122.67	122.17	43.00	43.00	0.50	79.17	0.00	7.11	7.83	0.14
sbm_strong	p2_50_p3_50	low20	6	122.67	122.17	122.17	122.17	0.50	0.00	0.00	1.90	3.00	0.02
sbm_strong	p2_50_p3_50	low05	6	122.67	122.17	42.17	42.17	0.50	80.00	0.00	7.11	7.83	0.14
sbm_strong	p2_50_p3_50	randtop20	6	122.67	122.17	122.17	122.17	0.50	0.00	0.00	1.90	3.00	0.02
sbm_strong	p2_50_p3_50	randtop05	6	122.67	122.17	43.00	43.00	0.50	79.17	0.00	7.11	7.83	0.14
sbm_strong	p1_100	spread	6	122.67	122.50	122.50	122.50	0.17	0.00	0.00	1.00	1.00	0.02
sbm_strong	p1_100	random	6	122.67	121.50	121.50	121.50	1.17	0.00	0.00	1.07	2.17	0.02
sbm_strong	p1_100	top20	6	122.67	122.67	122.67	122.67	0.00	0.00	0.00	1.00	1.00	0.02
